车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,0,-2.0,2.46343888888889e-05
小轿车,NOx,1,-2.0,2.46343888888889e-05
小轿车,NOx,2,-2.0,2.46343888888889e-05
小轿车,NOx,3,-2.0,2.46343888888889e-05
小轿车,NOx,4,-2.0,2.46343888888889e-05
小轿车,NOx,5,-2.0,2.46343888888889e-05
小轿车,NOx,6,-2.0,2.46343888888889e-05
小轿车,NOx,7,-2.0,2.46343888888889e-05
小轿车,NOx,8,-2.0,2.46343888888889e-05
小轿车,NOx,9,-2.0,2.46343888888889e-05
小轿车,NOx,10,-2.0,2.46343888888889e-05
小轿车,NOx,11,-2.0,2.46343888888889e-05
小轿车,NOx,12,-2.0,2.46343888888889e-05
小轿车,NOx,13,-2.0,2.46343888888889e-05
小轿车,NOx,14,-2.0,2.46343888888889e-05
小轿车,NOx,15,-2.0,2.46343888888889e-05
小轿车,NOx,16,-2.0,2.46343888888889e-05
小轿车,NOx,17,-2.0,2.46343888888889e-05
小轿车,NOx,18,-2.0,2.46343888888889e-05
小轿车,NOx,19,-2.0,2.46343888888889e-05
小轿车,NOx,20,-2.0,2.46343888888889e-05
小轿车,NOx,21,-2.0,2.46343888888889e-05
小轿车,NOx,22,-2.0,2.46343888888889e-05
小轿车,NOx,23,-2.0,2.46343888888889e-05
小轿车,NOx,24,-2.0,2.46343888888889e-05
小轿车,NOx,25,-2.0,2.46343888888889e-05
小轿车,NOx,26,-2.0,2.46343888888889e-05
小轿车,NOx,27,-2.0,2.46343888888889e-05
小轿车,NOx,28,-2.0,2.46343888888889e-05
小轿车,NOx,29,-2.0,2.46343888888889e-05
小轿车,NOx,30,-2.0,2.46343888888889e-05
小轿车,NOx,31,-2.0,2.46343888888889e-05
小轿车,NOx,32,-2.0,2.46343888888889e-05
小轿车,NOx,33,-2.0,2.46343888888889e-05
小轿车,NOx,34,-2.0,2.46343888888889e-05
小轿车,NOx,35,-2.0,2.46343888888889e-05
小轿车,NOx,36,-2.0,2.46343888888889e-05
小轿车,NOx,37,-2.0,2.46343888888889e-05
小轿车,NOx,38,-2.0,2.46343888888889e-05
小轿车,NOx,39,-2.0,2.46343888888889e-05
小轿车,NOx,40,-2.0,2.46343888888889e-05
小轿车,NOx,41,-2.0,2.46343888888889e-05
小轿车,NOx,42,-2.0,2.46343888888889e-05
小轿车,NOx,43,-2.0,2.46343888888889e-05
小轿车,NOx,44,-2.0,2.46343888888889e-05
小轿车,NOx,45,-2.0,2.46343888888889e-05
小轿车,NOx,46,-2.0,2.46343888888889e-05
小轿车,NOx,47,-2.0,2.46343888888889e-05
小轿车,NOx,48,-2.0,2.46343888888889e-05
小轿车,NOx,49,-2.0,2.46343888888889e-05
小轿车,NOx,50,-2.0,2.46343888888889e-05
小轿车,NOx,51,-2.0,2.46343888888889e-05
小轿车,NOx,52,-2.0,2.46343888888889e-05
小轿车,NOx,53,-2.0,2.46343888888889e-05
小轿车,NOx,54,-2.0,2.46343888888889e-05
小轿车,NOx,55,-2.0,2.46343888888889e-05
小轿车,NOx,56,-2.0,2.46343888888889e-05
小轿车,NOx,57,-2.0,2.46343888888889e-05
小轿车,NOx,58,-2.0,2.46343888888889e-05
小轿车,NOx,59,-2.0,2.46343888888889e-05
小轿车,NOx,60,-2.0,2.46343888888889e-05
小轿车,NOx,61,-2.0,2.46343888888889e-05
小轿车,NOx,62,-2.0,2.46343888888889e-05
小轿车,NOx,63,-2.0,2.46343888888889e-05
小轿车,NOx,64,-2.0,2.46343888888889e-05
小轿车,NOx,65,-2.0,2.46343888888889e-05
小轿车,NOx,66,-2.0,2.46343888888889e-05
小轿车,NOx,67,-2.0,2.46343888888889e-05
小轿车,NOx,68,-2.0,2.46343888888889e-05
小轿车,NOx,69,-2.0,2.46343888888889e-05
小轿车,NOx,70,-2.0,2.46343888888889e-05
小轿车,NOx,71,-2.0,2.46343888888889e-05
小轿车,NOx,72,-2.0,2.46343888888889e-05
小轿车,NOx,73,-2.0,2.46343888888889e-05
小轿车,NOx,74,-2.0,2.46343888888889e-05
小轿车,NOx,75,-2.0,2.46343888888889e-05
小轿车,NOx,76,-2.0,2.46343888888889e-05
小轿车,NOx,77,-2.0,2.46343888888889e-05
小轿车,NOx,78,-2.0,2.46343888888889e-05
小轿车,NOx,79,-2.0,2.46343888888889e-05
小轿车,NOx,80,-2.0,2.46343888888889e-05
小轿车,NOx,81,-2.0,2.46343888888889e-05
小轿车,NOx,82,-2.0,2.46343888888889e-05
小轿车,NOx,83,-2.0,2.46343888888889e-05
小轿车,NOx,84,-2.0,2.46343888888889e-05
小轿车,NOx,85,-2.0,2.46343888888889e-05
小轿车,NOx,86,-2.0,2.46343888888889e-05
小轿车,NOx,87,-2.0,2.46343888888889e-05
小轿车,NOx,88,-2.0,2.46343888888889e-05
小轿车,NOx,89,-2.0,2.46343888888889e-05
小轿车,NOx,90,-2.0,2.46343888888889e-05
小轿车,NOx,91,-2.0,2.46343888888889e-05
小轿车,NOx,92,-2.0,2.46343888888889e-05
小轿车,NOx,93,-2.0,2.46343888888889e-05
小轿车,NOx,94,-2.0,2.46343888888889e-05
小轿车,NOx,95,-2.0,2.46343888888889e-05
小轿车,NOx,96,-2.0,2.46343888888889e-05
小轿车,NOx,97,-2.0,2.46343888888889e-05
小轿车,NOx,98,-2.0,2.46343888888889e-05
小轿车,NOx,99,-2.0,2.46343888888889e-05
小轿车,NOx,100,-2.0,2.46343888888889e-05
小轿车,NOx,101,-2.0,2.46343888888889e-05
小轿车,NOx,102,-2.0,2.46343888888889e-05
小轿车,NOx,103,-2.0,2.46343888888889e-05
小轿车,NOx,104,-2.0,2.46343888888889e-05
小轿车,NOx,105,-2.0,2.46343888888889e-05
小轿车,NOx,106,-2.0,2.46343888888889e-05
小轿车,NOx,107,-2.0,2.46343888888889e-05
小轿车,NOx,108,-2.0,2.46343888888889e-05
小轿车,NOx,109,-2.0,2.46343888888889e-05
小轿车,NOx,110,-2.0,2.46343888888889e-05
小轿车,NOx,111,-2.0,2.46343888888889e-05
小轿车,NOx,112,-2.0,2.46343888888889e-05
小轿车,NOx,113,-2.0,2.46343888888889e-05
小轿车,NOx,114,-2.0,2.46343888888889e-05
小轿车,NOx,115,-2.0,2.46343888888889e-05
小轿车,NOx,116,-2.0,2.46343888888889e-05
小轿车,NOx,117,-2.0,2.46343888888889e-05
小轿车,NOx,118,-2.0,2.46343888888889e-05
小轿车,NOx,119,-2.0,2.46343888888889e-05
小轿车,NOx,120,-2.0,2.46343888888889e-05
小轿车,NOx,121,-2.0,2.46343888888889e-05
小轿车,NOx,122,-2.0,2.46343888888889e-05
小轿车,NOx,123,-2.0,2.46343888888889e-05
小轿车,NOx,124,-2.0,2.46343888888889e-05
小轿车,NOx,125,-2.0,2.46343888888889e-05
小轿车,NOx,126,-2.0,2.46343888888889e-05
小轿车,NOx,127,-2.0,2.46343888888889e-05
小轿车,NOx,128,-2.0,2.46343888888889e-05
小轿车,NOx,129,-2.0,2.46343888888889e-05
小轿车,NOx,130,-2.0,2.46343888888889e-05
小轿车,NOx,131,-2.0,2.46343888888889e-05
小轿车,NOx,132,-2.0,2.46343888888889e-05
小轿车,NOx,133,-2.0,2.46343888888889e-05
