lane_id,next_lane_id,lane_length,next_lane_length
:J0_0_0,jiashi_ns_3_0,0.27,99.2
:J0_0_1,jiashi_ns_3_1,0.27,99.2
:jiashibei-changjidong_0_0,jiashi_sn_2_0,13.07,1445.8
:jiashibei-changjidong_10_0,lvhuan_we_0_0,28.85,184.21
:jiashibei-changjidong_11_0,jiashi_sn_2_0,35.13,1445.8
:jiashibei-changjidong_11_1,jiashi_sn_2_1,28.95,1445.8
:jiashibei-changjidong_13_0,changjidong_ew_0_0,11.69,143.65
:jiashibei-changjidong_14_0,jiashi_ns_2_0,35.34,161.48
:jiashibei-changjidong_14_1,jiashi_ns_2_1,35.34,161.48
:jiashibei-changjidong_16_0,lvhuan_we_0_0,29.41,184.21
:jiashibei-changjidong_16_1,lvhuan_we_0_1,26.39,184.21
:jiashibei-changjidong_1_0,changjidong_ew_0_0,28.66,143.65
:jiashibei-changjidong_1_1,changjidong_ew_0_1,28.66,143.65
:jiashibei-changjidong_3_0,jiashi_ns_2_1,30.79,161.48
:jiashibei-changjidong_4_0,lvhuan_we_0_0,16.12,184.21
:jiashibei-changjidong_5_0,jiashi_sn_2_0,35.43,1445.8
:jiashibei-changjidong_5_1,jiashi_sn_2_1,35.43,1445.8
:jiashibei-changjidong_7_0,changjidong_ew_0_0,36.46,143.65
:jiashibei-changjidong_7_1,changjidong_ew_0_1,33.36,143.65
:jiashibei-changjidong_9_0,jiashi_ns_2_0,13.66,161.48
:jiashibei-chungui_0_0,jiashi_sn_1_0,11.85,258.42
:jiashibei-chungui_10_0,jiashi_sn_1_1,25.65,258.42
:jiashibei-chungui_11_0,xiaoqu_ew_0_0,13.04,38.1
:jiashibei-chungui_12_0,jiashi_ns_4_0,27.0,489.81
:jiashibei-chungui_12_1,jiashi_ns_4_1,27.0,489.81
:jiashibei-chungui_14_0,chungui_we_0_0,29.08,174.34
:jiashibei-chungui_14_1,chungui_we_0_1,26.06,174.34
:jiashibei-chungui_16_0,xiaoqu_ew_0_0,15.29,38.1
:jiashibei-chungui_1_0,xiaoqu_ew_0_0,25.61,38.1
:jiashibei-chungui_2_0,jiashi_ns_4_1,26.18,489.81
:jiashibei-chungui_3_0,chungui_we_0_0,9.94,174.34
:jiashibei-chungui_4_0,jiashi_sn_1_0,27.13,258.42
:jiashibei-chungui_4_1,jiashi_sn_1_1,27.13,258.42
:jiashibei-chungui_6_0,:jiashibei-chungui_16_0,10.77,15.29
:jiashibei-chungui_6_0,xiaoqu_ew_0_0,10.77,38.1
:jiashibei-chungui_7_0,jiashi_ns_4_0,12.98,489.81
:jiashibei-chungui_8_0,chungui_we_0_0,25.6,174.34
:jiashibei-chungui_8_1,chungui_we_0_1,25.6,174.34
changjidong_ew_0_0,,143.65,
changjidong_ew_0_1,,143.65,
changjidong_we_1_0,:jiashibei-changjidong_9_0,1054.0,13.66
changjidong_we_1_1,:jiashibei-changjidong_10_0,1054.0,28.85
changjidong_we_1_2,:jiashibei-changjidong_11_0,1054.0,35.13
changjidong_we_1_3,:jiashibei-changjidong_11_1,1054.0,28.95
chungui_ew_0_0,:jiashibei-chungui_0_0,181.43,11.85
chungui_ew_0_1,:jiashibei-chungui_1_0,181.43,25.61
chungui_ew_0_1,:jiashibei-chungui_2_0,181.43,26.18
chungui_we_0_0,,174.34,
chungui_we_0_1,,174.34,
jiashi_ns_1_0,:jiashibei-changjidong_13_0,825.56,11.69
jiashi_ns_1_1,:jiashibei-changjidong_14_0,825.56,35.34
